aX,aY,aZ,gX,gY,gZ
0.166,-1.607,0.755,-18.616,100.098,240.479
0.174,-1.646,0.745,-13.367,112.366,257.385
0.118,-1.772,0.754,-17.944,123.535,275.146
0.011,-1.871,0.751,-13.916,135.986,301.453
-0.102,-1.805,0.696,0.061,150.513,338.928
-0.123,-1.588,0.600,12.695,162.720,376.831
-0.056,-1.331,0.511,23.987,169.128,403.870
0.051,-1.091,0.464,29.236,170.288,416.443
0.151,-1.057,0.474,29.236,167.236,416.443
0.072,-1.321,0.481,22.339,165.833,413.208
-0.051,-1.578,0.572,8.545,165.771,427.246
-0.175,-1.564,0.710,-4.150,172.180,464.539
-0.350,-1.448,0.731,8.362,188.721,505.615
-0.495,-1.353,0.684,31.128,208.069,542.114
-0.670,-1.211,0.630,50.354,224.548,573.425
-0.787,-0.880,0.584,70.068,235.352,603.577
-0.785,-0.525,0.512,77.209,244.568,622.803
-0.726,-0.461,0.626,69.702,246.216,622.986
-0.805,-0.510,0.834,39.307,252.075,620.178
-1.025,-0.329,1.085,31.372,274.109,633.240
-1.255,-0.086,1.305,52.307,312.439,652.344
-1.547,0.357,1.221,90.027,367.249,665.955
-1.821,0.945,0.779,139.160,424.133,669.373
-1.972,1.383,0.288,174.683,458.740,645.325
-2.093,2.050,-0.165,194.580,467.163,605.713
-1.936,2.884,-0.698,213.745,454.956,551.392
-1.488,3.418,-1.104,215.027,416.687,462.158
-0.934,3.646,-1.274,199.341,355.164,346.497
-0.451,3.477,-1.314,179.077,283.142,221.863
-0.220,2.729,-1.159,151.367,205.322,100.647
-0.296,1.669,-0.742,124.817,130.615,9.155
-0.524,0.750,-0.336,92.285,75.439,-31.982
-0.611,0.352,-0.185,59.387,49.377,-21.240
-0.557,0.529,-0.145,38.513,40.466,15.930
-0.465,0.797,-0.084,42.603,35.278,36.682
-0.262,0.879,-0.117,65.002,35.217,35.034
-0.089,0.838,-0.125,80.750,34.180,27.466
0.013,0.889,-0.125,84.290,30.884,27.771
0.098,1.056,-0.076,70.007,26.245,32.227
0.176,1.197,-0.039,51.819,23.254,30.273
0.114,1.251,-0.048,30.151,25.024,26.245
0.005,1.264,-0.128,16.418,27.588,19.775
-0.066,1.262,-0.235,-2.380,25.513,14.526
-0.076,1.253,-0.264,-18.311,14.587,9.216
-0.056,1.248,-0.233,-30.945,1.038,5.066
-0.038,1.218,-0.166,-38.757,-9.644,1.160
-0.007,1.202,-0.123,-44.250,-15.747,0.122
0.032,1.219,-0.095,-35.767,-17.090,1.343
0.099,1.225,-0.128,-27.344,-13.062,2.502
0.150,1.186,-0.178,-24.231,-9.033,0.977
0.178,1.175,-0.212,-25.940,-7.324,1.343
0.198,1.156,-0.254,-28.381,-6.897,1.587
0.199,1.111,-0.298,-36.377,-7.935,-0.122
0.147,0.980,-0.213,-40.100,-11.841,-3.540
0.157,0.939,-0.212,-42.236,-11.353,-4.028
0.184,0.934,-0.227,-38.391,-8.484,-0.671
0.135,0.885,-0.241,-34.729,-6.714,-1.953
0.104,0.830,-0.234,-30.396,-6.042,-2.075
0.090,0.826,-0.248,-25.513,-4.700,0.000
0.106,0.875,-0.241,-22.217,-3.967,3.479
0.093,0.928,-0.231,-19.775,-3.296,5.005
0.070,0.981,-0.266,-13.489,-1.831,4.333
0.096,0.970,-0.297,-10.437,-1.709,1.160
0.110,0.927,-0.285,-11.108,-3.906,-0.916
0.117,0.931,-0.243,-13.489,-5.432,1.282
0.104,0.980,-0.227,-12.756,-3.540,5.188
0.119,0.976,-0.257,-9.827,-0.427,4.456
0.120,0.943,-0.330,-7.507,1.648,1.587
0.118,0.909,-0.366,-8.606,0.000,-0.549
0.113,0.917,-0.347,-12.634,-4.700,-1.587
0.100,0.918,-0.291,-12.817,-9.216,-3.418
0.140,0.844,-0.249,-7.446,-11.108,-7.935
0.147,0.734,-0.219,-3.174,-9.888,-9.216
0.134,0.772,-0.200,-0.610,-6.531,-2.380
0.133,0.912,-0.228,2.441,-1.709,5.188
0.139,0.973,-0.265,9.033,1.343,4.395
0.190,0.958,-0.314,11.536,1.953,-0.488
0.197,0.947,-0.297,8.789,0.000,-2.319
0.163,1.010,-0.260,3.723,-1.343,-0.122
0.132,1.081,-0.280,2.258,0.000,0.000
0.084,1.068,-0.344,4.211,1.465,-5.371
0.046,0.894,-0.298,7.507,-2.869,-14.282
0.114,0.714,-0.215,7.507,-8.179,-15.259
0.186,0.723,-0.120,3.418,-7.385,-3.296
0.206,0.929,-0.074,3.296,0.183,12.634
