aX,aY,aZ,gX,gY,gZ
0.713,-0.438,0.070,16.357,23.560,-186.890
0.694,-0.484,0.083,8.118,23.804,-186.890
0.685,-0.497,0.081,10.315,23.926,-185.181
0.676,-0.484,0.156,21.667,24.536,-184.448
0.625,-0.464,0.086,31.921,26.733,-184.937
0.618,-0.571,0.028,-3.662,29.724,-192.688
0.597,-0.690,-0.040,-6.531,30.029,-198.303
0.594,-0.780,-0.070,-10.986,25.757,-197.388
0.560,-0.816,-0.058,-22.705,19.165,-193.115
0.502,-0.787,-0.027,-32.471,12.634,-185.974
0.445,-0.760,-0.010,-35.461,7.874,-181.763
0.390,-0.758,-0.029,-35.583,4.761,-180.786
0.321,-0.787,-0.044,-32.410,1.038,-181.519
0.462,-0.756,-0.040,-23.743,-4.333,-181.946
0.397,-0.906,-0.048,-22.949,-8.728,-188.904
0.402,-1.011,-0.011,-24.170,-14.893,-188.721
0.382,-1.051,0.057,-26.794,-21.240,-180.115
0.315,-1.007,0.121,-28.809,-24.109,-167.114
0.424,-0.834,0.160,-26.367,-23.560,-155.334
0.371,-0.925,0.132,-25.146,-18.372,-159.363
0.305,-1.005,0.084,-19.958,-15.076,-162.964
0.320,-0.917,0.083,-16.357,-16.602,-157.898
0.211,-1.002,0.035,-12.512,-18.127,-156.860
0.247,-1.103,0.007,-11.780,-21.118,-159.058
0.260,-1.158,0.035,-10.071,-27.954,-153.259
0.256,-1.177,0.096,-8.118,-33.813,-144.897
0.219,-1.152,0.178,-3.357,-36.316,-134.460
0.193,-1.048,0.231,2.441,-34.119,-122.681
0.197,-0.982,0.244,2.930,-28.442,-115.784
0.187,-0.988,0.218,1.343,-21.240,-115.173
0.209,-1.014,0.166,1.831,-15.747,-114.868
0.177,-1.061,0.120,0.244,-13.733,-113.403
0.189,-1.074,0.111,-4.395,-14.832,-110.352
0.173,-1.114,0.118,-5.615,-17.151,-108.154
0.148,-1.139,0.143,-6.470,-19.104,-104.614
0.131,-1.145,0.177,-8.728,-19.958,-99.121
0.118,-1.148,0.185,-7.385,-18.555,-93.140
0.096,-1.169,0.163,-2.686,-15.869,-87.341
0.103,-1.164,0.146,-0.366,-14.465,-80.139
0.130,-1.148,0.139,1.465,-14.709,-72.937
0.159,-1.146,0.160,-0.427,-15.930,-67.322
0.157,-1.131,0.205,-2.869,-16.602,-61.584
0.148,-1.109,0.249,-2.930,-15.198,-55.725
0.130,-1.097,0.278,-3.662,-10.986,-51.392
0.088,-1.098,0.266,-4.211,-4.028,-47.791
0.063,-1.145,0.206,-2.563,2.380,-45.044
0.029,-1.209,0.107,2.075,6.958,-40.100
0.014,-1.262,0.031,2.197,6.348,-31.799
0.016,-1.280,0.013,-0.610,0.610,-20.264
0.027,-1.216,0.087,-3.540,-6.836,-6.836
0.029,-1.125,0.160,3.601,-12.207,4.211
0.015,-1.070,0.187,11.230,-11.841,9.827
0.017,-1.054,0.178,11.719,-8.362,11.353
0.033,-1.059,0.141,11.963,-5.005,11.414
0.052,-1.060,0.112,10.986,-3.601,11.169
0.070,-1.046,0.110,6.409,-4.395,11.108
0.039,-1.001,0.147,4.578,-6.470,12.024
-0.001,-0.972,0.160,7.812,-6.653,12.817
0.007,-0.999,0.135,8.972,-4.883,10.498
0.021,-1.027,0.107,7.996,-3.723,8.911
0.039,-1.008,0.101,6.531,-4.944,9.705
0.042,-0.963,0.111,4.211,-7.324,10.681
0.036,-0.953,0.125,0.610,-9.094,9.338
0.053,-0.972,0.138,0.488,-10.376,8.301
0.087,-0.965,0.166,4.456,-11.902,9.827
0.089,-0.940,0.199,7.385,-12.024,11.230
0.086,-0.916,0.232,5.615,-9.705,10.132
0.077,-0.887,0.242,1.526,-5.249,7.507
0.052,-0.876,0.223,-2.625,0.183,2.686
0.031,-0.913,0.162,-2.930,5.188,-2.502
0.020,-0.980,0.087,-1.160,7.141,-5.249
0.037,-1.032,0.060,-3.052,4.700,-5.066
0.047,-1.035,0.096,-4.333,-0.305,-1.892
0.043,-0.986,0.163,-1.465,-4.028,2.563
0.049,-0.941,0.201,0.000,-3.845,5.005
0.069,-0.946,0.195,0.305,-1.160,3.723
0.069,-0.992,0.151,1.892,1.953,2.441
0.063,-1.044,0.111,2.502,2.808,3.235
0.056,-1.066,0.116,-0.427,1.038,5.920
0.046,-1.017,0.141,-0.732,-0.610,9.766
0.046,-0.960,0.145,2.380,-0.671,10.925
0.051,-0.938,0.123,2.930,0.122,7.935
0.609,1.553,-0.643,8.606,30.762,-103.821
0.503,1.569,-0.883,1.099,22.583,-129.822
0.345,1.550,-0.968,-14.893,-5.005,-158.630
0.298,1.529,-1.001,-16.907,-41.016,-182.251
0.285,1.443,-0.929,-34.607,-82.336,-205.322
0.306,1.313,-0.713,-52.063,-120.483,-225.464
0.354,1.236,-0.471,-54.382,-147.461,-238.220
0.403,1.190,-0.219,-51.880,-162.598,-248.169
0.377,1.154,-0.019,-40.405,-165.100,-258.545
0.314,1.160,0.102,-21.118,-155.151,-267.944
0.304,1.148,0.118,6.958,-138.123,-279.236
0.355,1.066,0.066,18.494,-122.864,-296.265
0.346,0.895,-0.063,25.330,-111.145,-315.063
0.307,0.733,-0.087,33.142,-108.887,-332.520
0.405,0.594,-0.045,14.709,-113.647,-344.727
0.333,0.447,-0.075,14.648,-116.699,-352.539
0.295,0.337,0.016,-7.080,-122.437,-356.995
0.323,0.209,0.125,-23.254,-129.517,-359.253
0.403,0.035,0.302,-26.672,-133.850,-359.619
0.465,-0.135,0.465,-37.354,-131.165,-353.027
0.466,-0.255,0.560,-31.982,-115.540,-334.900
0.500,-0.304,0.655,-22.156,-91.919,-307.007
0.569,-0.330,0.709,-2.563,-65.002,-280.334
0.667,-0.389,0.701,18.066,-35.156,-259.399
0.693,-0.407,0.633,26.489,-3.845,-239.441
0.652,-0.355,0.475,50.171,25.208,-215.271
0.586,-0.234,0.261,80.139,46.936,-193.542
0.595,-0.087,0.036,94.421,59.021,-180.603
0.598,-0.028,-0.114,110.291,57.251,-181.396
0.611,-0.043,-0.178,121.521,46.143,-191.223
0.640,-0.104,-0.177,109.680,34.241,-203.247
0.555,-0.263,-0.389,63.721,24.902,-214.844
0.649,-0.229,-0.166,-66.162,13.611,-217.896
0.571,-0.358,0.082,-21.423,-9.277,-230.652
0.500,-0.454,0.229,-15.930,-14.221,-235.291
0.499,-0.546,0.336,-10.498,-5.493,-232.544
0.488,-0.635,0.347,1.221,7.629,-229.797
0.476,-0.636,0.263,20.752,25.452,-219.971
0.468,-0.703,0.103,35.583,40.222,-212.830
0.482,-0.835,-0.037,38.696,46.753,-209.473
0.505,-0.807,-0.105,35.156,45.776,-197.327
0.474,-0.822,-0.131,75.195,35.889,-187.988
0.452,-0.772,-0.110,105.713,27.832,-178.894
0.428,-0.678,-0.048,100.403,25.635,-169.556
0.415,-0.631,0.015,101.440,27.710,-169.067
0.315,-0.599,0.032,104.736,35.156,-173.340
0.243,-0.655,-0.012,98.877,46.753,-181.152
0.208,-0.671,-0.140,86.060,58.167,-187.561
0.181,-0.714,-0.275,74.280,62.927,-191.223
0.173,-0.818,-0.345,77.881,59.875,-198.669
0.167,-0.957,-0.365,85.876,51.208,-202.209
0.162,-1.112,-0.340,85.022,43.518,-201.965
0.121,-1.207,-0.275,86.060,37.659,-192.139
0.112,-1.182,-0.195,93.323,34.485,-172.729
0.118,-1.054,-0.163,96.619,36.377,-151.306
0.142,-0.939,0.043,50.598,40.771,-138.977
0.106,-0.965,0.048,-47.302,51.636,-137.939
0.029,-1.034,-0.000,-54.810,79.346,-140.015
0.112,-1.123,-0.263,-105.591,99.609,-137.268
0.001,-1.112,-0.370,-98.755,96.313,-130.188
-0.093,-0.901,-0.219,-87.463,79.834,-120.117
0.073,-0.614,-0.037,-84.412,72.632,-119.812
0.344,-0.654,-0.227,-48.645,82.947,-141.724
0.066,-1.076,-0.558,13.611,89.539,-170.288
0.013,-1.655,-0.661,11.658,73.547,-177.612
0.005,-1.766,-0.404,18.677,41.626,-146.667
0.006,-1.494,-0.075,44.312,22.949,-97.778
0.080,-1.278,0.041,57.373,29.785,-66.101
0.081,-1.283,-0.108,69.580,47.668,-50.293
0.041,-1.373,-0.300,72.388,58.655,-36.316
0.034,-1.489,-0.336,63.293,56.396,-15.869
0.046,-1.278,-0.219,62.805,47.241,12.939
0.072,-0.818,-0.232,59.326,48.035,32.471
0.059,-0.511,-0.574,49.194,54.199,24.780
-0.037,-0.642,-0.792,29.907,47.974,-6.897
-0.009,-1.036,-0.802,22.339,23.621,-37.354
0.006,-1.298,-0.638,6.165,-5.493,-43.030
-0.036,-1.352,-0.427,0.122,-26.672,-29.602
-0.061,-1.250,-0.232,10.620,-33.630,-10.559
-0.028,-1.115,-0.093,23.865,-27.344,3.784
0.047,-1.013,-0.106,29.419,-10.925,9.888
0.107,-0.973,-0.198,22.095,6.653,8.667
0.098,-1.091,-0.239,-0.183,18.066,2.258
0.060,-1.140,-0.333,-17.944,23.499,3.235
0.029,-1.092,-0.316,-11.597,22.888,11.047
0.045,-1.014,-0.238,-36.499,20.142,16.479
0.043,-0.954,-0.105,-54.016,24.292,16.785
0.038,-0.958,-0.102,-79.834,35.339,12.207
0.037,-1.005,-0.181,-94.604,49.744,5.554
0.049,-1.051,-0.240,-102.905,57.617,1.709
0.055,-1.113,-0.265,-120.361,57.739,2.380
-0.027,-1.188,-0.274,-121.277,55.725,5.066
-0.419,-1.283,-0.373,-88.684,53.162,11.230
-0.696,-1.210,-0.561,-114.624,54.932,23.071
0.201,-0.972,-0.583,-116.089,28.076,31.067
0.276,-0.661,-0.360,-47.180,-5.371,23.071
0.159,-0.656,-0.141,-60.547,-14.526,-3.296
-0.119,-0.820,0.022,-45.166,-15.503,-25.391
-0.143,-1.019,0.075,-45.349,-11.414,-34.851
-0.013,-1.112,0.017,-39.612,-3.540,-34.363
0.094,-1.145,-0.091,-31.006,3.723,-31.311
0.111,-1.128,-0.154,-24.658,5.920,-24.780
0.064,-1.117,-0.182,-19.165,3.906,-16.479
-0.025,-1.114,-0.142,-20.142,-0.916,-8.911
-0.066,-1.082,-0.097,-20.386,-5.554,-2.380
-0.040,-1.039,-0.072,-24.902,-8.484,2.319
0.023,-1.016,-0.036,-32.227,-10.010,2.869
0.029,-1.010,-0.010,-34.973,-10.071,1.587
0.021,-1.006,0.030,-31.616,-8.423,2.625
0.237,-0.895,0.063,-22.217,-5.127,6.470
-0.031,-0.920,0.019,-1.282,1.770,5.432
-0.055,-0.963,0.079,-20.935,8.179,4.700
0.056,-0.923,0.046,-14.465,12.939,7.385
0.060,-0.905,-0.011,-22.461,17.944,5.981
-0.133,-0.940,-0.067,-26.489,22.034,1.831
-0.036,-0.934,-0.188,-5.859,19.165,0.977
-0.086,-0.974,-0.174,-0.427,7.812,0.549
-0.061,-1.039,-0.073,-9.583,-1.587,-0.916
0.012,-1.035,-0.006,-18.250,-6.042,1.953
0.361,1.499,-0.638,11.475,-80.566,-114.197
0.354,1.427,-0.571,5.066,-100.708,-135.254
0.318,1.333,-0.434,4.639,-119.629,-155.273
0.319,1.271,-0.301,6.897,-131.348,-171.631
0.353,1.203,-0.210,18.005,-136.230,-185.486
0.380,1.126,-0.132,30.884,-135.986,-197.327
0.436,1.057,-0.059,44.189,-132.568,-206.421
0.477,1.009,-0.054,49.744,-126.587,-211.792
0.732,1.208,0.132,11.353,-124.878,-208.496
0.148,1.190,-0.159,24.658,-118.469,-211.914
-0.070,1.136,-0.153,52.979,-110.535,-234.192
0.228,0.978,-0.137,74.463,-112.549,-253.357
0.361,0.821,-0.120,92.529,-115.234,-265.015
0.361,0.673,-0.044,91.431,-118.103,-270.752
0.446,0.510,0.146,76.477,-124.695,-271.545
0.500,0.357,0.341,72.083,-125.122,-264.648
0.452,0.217,0.508,72.205,-114.929,-251.465
0.467,0.065,0.620,78.979,-95.276,-235.352
0.540,-0.078,0.652,87.708,-68.420,-215.820
0.625,-0.152,0.621,88.684,-37.964,-190.125
0.677,-0.101,0.544,86.304,-10.132,-160.278
0.707,0.077,0.442,88.806,12.085,-132.996
0.710,0.340,0.341,90.210,28.809,-114.624
0.704,0.621,0.220,95.703,39.978,-109.070
0.674,0.825,0.118,89.355,44.556,-121.338
0.666,0.974,0.036,81.848,41.626,-149.170
0.632,0.865,0.081,52.490,33.691,-191.406
0.573,0.599,0.077,73.425,26.489,-231.567
0.580,0.307,0.100,78.735,21.179,-256.042
0.544,0.037,0.140,61.096,16.235,-268.799
0.539,-0.144,0.156,55.115,14.099,-265.686
0.557,-0.226,0.165,54.993,13.794,-250.977
0.569,-0.241,0.203,56.519,14.648,-232.239
0.610,-0.314,0.194,61.279,18.738,-217.957
0.615,-0.387,0.211,58.105,22.217,-205.994
0.615,-0.363,0.242,51.819,26.001,-189.880
0.664,-0.278,0.283,44.373,32.043,-175.110
0.693,-0.224,0.248,37.720,40.466,-169.800
0.809,-0.210,0.058,32.471,47.607,-172.729
0.643,-0.150,0.308,-40.710,44.678,-177.063
0.527,-0.296,0.105,-10.437,50.598,-188.171
0.559,-0.440,-0.076,24.536,53.101,-194.763
0.510,-0.506,-0.108,39.429,45.044,-192.444
0.531,-0.499,-0.059,28.503,32.166,-184.448
0.510,-0.323,0.361,-24.292,18.372,-175.415
0.357,-0.290,0.277,-26.062,23.132,-176.086
0.353,-0.411,0.190,0.916,41.016,-190.613
0.416,-0.637,-0.018,24.536,52.002,-206.604
0.523,-0.860,-0.207,34.424,49.133,-212.708
0.583,-0.978,-0.198,14.038,31.006,-204.224
0.563,-0.997,-0.071,-3.906,11.047,-189.026
0.501,-0.938,0.082,-12.634,-1.770,-172.668
0.442,-0.871,0.175,-16.296,-3.967,-160.767
0.426,-0.827,0.202,-16.052,1.648,-154.419
0.395,-0.801,0.191,-11.658,10.925,-152.161
0.377,-0.780,0.161,-6.714,21.118,-153.137
0.338,-0.796,0.026,7.263,28.992,-155.640
0.309,-0.838,-0.064,10.193,31.677,-158.691
0.319,-0.952,-0.186,3.174,27.710,-161.743
0.298,-1.032,-0.157,-7.141,17.944,-161.011
0.286,-1.061,-0.142,-13.245,5.432,-153.625
0.252,-1.055,-0.085,-16.602,-4.639,-145.081
0.282,-1.052,-0.036,-8.118,-11.230,-138.794
0.291,-1.080,-0.098,-8.667,-17.273,-133.179
0.250,-1.070,0.075,-11.719,-22.339,-128.296
0.301,-1.111,-0.073,16.968,-23.499,-123.657
0.365,-1.111,0.053,-6.836,-32.227,-117.126
0.386,-1.224,-0.013,-9.521,-34.973,-114.014
0.454,-1.302,0.036,9.399,-35.278,-108.215
0.412,-1.232,0.163,3.296,-39.429,-92.834
0.382,-1.098,0.211,5.249,-36.560,-77.637
0.402,-1.012,0.230,14.648,-28.564,-72.144
0.358,-0.989,0.191,30.090,-18.677,-72.327
0.425,-1.043,0.164,22.034,-10.132,-76.416
0.298,-1.013,0.276,-14.099,-2.319,-77.393
0.265,-1.046,0.173,19.958,14.282,-79.346
0.241,-1.156,-0.235,41.199,22.278,-80.750
0.287,-1.261,-0.343,48.584,13.672,-78.247
0.467,-1.311,-0.390,35.278,-9.460,-68.054
0.224,-1.219,0.244,-47.302,-33.264,-54.810
0.282,-1.249,0.113,34.485,-21.484,-44.983
0.277,-1.349,0.021,16.907,-13.367,-37.415
0.417,-1.330,-0.055,-3.296,-9.216,-25.208
0.391,-1.277,-0.051,-1.343,-13.672,-14.526
0.409,-1.277,-0.029,-5.005,-20.325,-10.193
0.380,-1.419,-0.035,-5.371,-23.987,-9.888
0.345,-1.347,0.045,-13.733,-28.748,-1.038
0.259,-1.253,0.073,-7.263,-31.433,10.864
0.247,-1.110,0.071,3.296,-29.785,22.766
0.266,-1.010,0.101,2.014,-27.710,27.954
0.256,-0.929,0.161,-2.380,-25.452,28.687
0.249,-0.774,0.156,7.568,-19.653,29.297
0.259,-0.606,0.123,1.648,-10.864,24.353
0.142,-0.582,0.359,-36.194,-12.268,7.019
0.207,-0.612,0.403,-99.365,-13.428,-15.808
0.301,-0.604,0.445,-43.701,4.883,-36.316
0.407,-0.704,0.258,-48.157,22.095,-57.861
0.571,-0.781,0.095,-56.274,31.555,-79.041
0.433,-1.002,-0.108,-38.147,30.457,-95.703
0.237,-1.290,-0.224,-33.691,17.212,-104.126
0.292,-1.372,-0.074,-67.871,-8.301,-89.966
0.261,-1.269,0.237,-62.073,-29.907,-64.270
0.242,-1.137,0.464,-50.354,-32.349,-40.039
0.053,-1.005,0.493,-18.738,-17.578,-22.888
-0.008,-0.960,0.412,5.066,2.930,-14.221
0.070,-0.970,0.167,23.621,15.442,-8.728
0.115,-0.928,-0.004,8.362,16.968,-3.174
0.125,-0.864,0.029,1.221,6.592,-1.587
0.094,-1.061,0.034,-7.385,-0.183,-8.423
0.203,-1.227,0.118,-45.837,-5.798,-12.390
0.192,-1.208,0.228,-39.917,-11.475,-4.272
0.173,-1.089,0.268,-26.550,-9.827,6.348
0.170,-0.959,0.241,-20.691,-4.272,13.672
0.140,-0.883,0.191,-21.423,0.061,13.733
0.142,-0.850,0.143,-20.935,0.793,9.277
0.170,-0.853,0.153,-21.423,-2.319,4.150
0.155,-0.882,0.243,-23.010,-5.737,-0.854
0.157,-0.966,0.265,-30.579,-5.249,-3.662
0.179,-0.982,0.253,-28.442,-2.563,-3.296
0.319,1.706,-0.631,15.137,-29.480,-92.957
0.322,1.693,-0.644,11.902,-46.631,-122.131
0.315,1.521,-0.612,7.568,-64.575,-153.442
0.343,1.351,-0.534,5.493,-80.505,-174.927
0.367,1.254,-0.454,10.681,-91.187,-184.204
0.354,1.260,-0.425,13.306,-96.375,-186.523
0.342,1.339,-0.417,7.385,-99.121,-189.209
0.583,1.412,-0.454,12.329,-101.990,-197.266
0.560,1.394,-0.353,18.250,-106.934,-211.121
0.271,1.292,-0.453,64.880,-107.849,-229.919
0.156,1.218,-0.492,67.322,-113.281,-242.920
0.274,1.211,-0.400,51.392,-126.587,-248.840
0.306,1.167,-0.317,52.917,-137.573,-253.174
0.227,1.089,-0.329,97.107,-142.761,-262.817
0.238,0.986,-0.194,76.233,-153.320,-273.499
0.232,0.825,-0.020,58.289,-162.231,-287.354
0.250,0.711,0.138,47.668,-162.598,-292.542
0.303,0.607,0.229,55.359,-155.151,-293.518
0.383,0.474,0.391,53.101,-144.714,-294.006
0.408,0.271,0.523,50.781,-129.150,-291.748
0.421,0.122,0.633,57.373,-103.760,-280.334
0.417,0.039,0.605,64.209,-70.618,-257.935
0.416,0.011,0.454,71.472,-38.757,-233.826
0.423,0.057,0.328,74.341,-16.296,-210.205
0.439,0.141,0.218,86.853,-3.418,-191.284
0.468,0.243,0.149,92.590,1.770,-180.542
0.452,0.368,0.155,90.820,1.892,-179.565
0.422,0.417,0.167,90.393,1.526,-190.002
0.400,0.337,0.213,80.383,2.563,-208.801
0.365,0.202,0.179,84.412,6.165,-229.797
0.372,0.089,0.152,81.299,9.888,-244.873
0.404,-0.019,0.137,73.242,9.583,-252.625
0.425,-0.068,0.151,57.617,7.568,-252.686
0.429,-0.070,0.192,48.889,5.005,-248.962
0.415,-0.091,0.253,48.828,4.517,-246.948
0.373,-0.142,0.267,47.424,7.507,-248.474
0.321,-0.170,0.248,41.870,14.038,-250.732
0.271,-0.271,0.155,47.729,19.348,-254.028
0.270,-0.451,0.076,50.659,19.897,-257.812
0.297,-0.596,0.045,40.710,15.381,-255.310
0.332,-0.702,0.032,32.837,7.202,-246.338
0.383,-0.790,0.074,28.870,-1.892,-234.619
0.428,-0.833,0.138,28.687,-9.949,-221.375
0.450,-0.811,0.189,20.691,-13.611,-208.496
0.483,-0.765,0.213,11.108,-12.756,-198.853
0.501,-0.671,0.206,8.423,-9.888,-193.726
0.503,-0.593,0.182,4.883,-6.897,-195.435
0.461,-0.628,0.127,3.357,-5.737,-204.102
0.398,-0.728,0.098,5.310,-7.996,-212.219
0.352,-0.833,0.093,17.334,-12.329,-214.539
0.307,-0.907,0.119,21.118,-16.113,-211.121
0.280,-0.962,0.175,10.498,-17.639,-205.688
0.272,-1.062,0.111,19.348,-16.785,-200.073
0.285,-1.128,0.065,23.865,-17.639,-191.345
0.295,-1.109,0.064,27.649,-21.423,-178.406
0.311,-1.062,0.095,23.987,-26.306,-168.152
0.329,-1.028,0.140,10.193,-29.846,-162.842
0.344,-1.009,0.173,2.808,-31.250,-160.461
0.351,-1.024,0.194,0.000,-31.128,-160.156
0.340,-1.058,0.238,-7.141,-30.334,-160.461
0.371,-1.056,0.331,-15.198,-26.978,-158.203
0.313,-1.200,0.216,9.277,-19.043,-157.471
0.285,-1.326,0.182,10.132,-15.198,-151.062
0.274,-1.338,0.226,5.188,-15.259,-135.864
0.227,-1.325,0.219,7.874,-13.000,-119.202
0.194,-1.322,0.174,13.367,-8.240,-105.225
0.171,-1.301,0.114,16.846,-6.042,-91.858
0.161,-1.283,0.066,21.912,-6.470,-80.627
0.161,-1.225,0.051,19.653,-9.338,-71.350
0.175,-1.196,0.042,13.000,-13.489,-66.040
0.214,-1.208,0.045,12.024,-19.348,-63.721
0.236,-1.220,0.103,8.728,-25.146,-60.669
0.235,-1.184,0.190,2.319,-28.259,-56.152
0.219,-1.123,0.245,-0.305,-26.184,-51.880
0.213,-1.074,0.235,2.930,-20.630,-50.110
0.185,-1.061,0.164,7.874,-14.832,-50.171
0.154,-1.096,0.097,8.118,-13.123,-49.744
0.146,-1.135,0.097,2.563,-16.418,-47.058
0.138,-1.141,0.157,-2.136,-21.423,-41.077
0.146,-1.154,0.200,1.160,-23.437,-33.691
0.167,-1.182,0.214,3.174,-22.339,-26.062
0.185,-1.195,0.227,1.709,-20.874,-16.541
0.193,-1.177,0.234,1.648,-18.677,-5.066
0.193,-1.180,0.235,1.892,-16.357,5.554
0.210,-1.185,0.251,0.183,-14.526,16.602
0.221,-1.139,0.275,-1.282,-12.207,28.320
0.195,-1.081,0.283,-0.122,-8.606,38.269
0.239,-1.014,0.286,4.089,-4.761,45.349
0.254,-0.857,0.261,10.681,-0.732,49.072
0.239,-0.792,0.216,11.658,3.174,40.161
0.238,-0.751,0.161,11.414,5.066,25.879
0.226,-0.745,0.123,9.399,3.906,10.681
0.213,-0.813,0.117,5.920,0.366,-3.906
0.201,-0.927,0.137,2.136,-2.869,-14.282
0.200,-1.037,0.173,-2.319,-5.615,-17.944
0.211,-1.104,0.213,-4.456,-6.592,-14.221
0.221,-1.121,0.235,-3.418,-5.066,-6.592
0.219,-1.097,0.240,-2.014,-2.258,1.099
0.198,-1.099,0.227,3.479,0.244,7.874
0.192,-1.112,0.177,11.719,2.991,14.099
0.217,-1.077,0.153,12.756,4.028,20.874
0.250,-0.998,0.174,7.141,3.052,25.085
0.246,-0.915,0.194,5.127,3.296,24.719
0.222,-0.885,0.167,7.935,5.249,19.653
0.205,-0.908,0.119,8.240,6.531,12.817
0.210,-0.973,0.112,3.601,5.005,6.958
0.224,-0.966,0.178,-2.197,2.380,5.005
0.225,-0.912,0.218,-2.319,2.991,4.456
0.205,-0.921,0.158,-0.732,7.446,0.000
0.174,-0.966,0.089,-4.822,9.521,-4.456
0.155,-1.009,0.083,-8.484,6.531,-5.920
0.143,-1.064,0.107,-4.700,1.587,-3.357
0.153,-1.079,0.164,-5.676,-1.404,1.831
0.173,-0.996,0.224,-7.568,-1.648,9.888
0.185,-0.918,0.196,-2.625,1.404,14.343
0.163,-0.891,0.141,-2.441,5.066,12.573
0.131,-0.939,0.100,-2.808,4.456,8.301
0.119,-0.993,0.076,2.319,0.488,7.996
0.125,-1.032,0.107,3.662,-4.395,11.963
0.030,-1.658,0.464,-360.779,29.846,-198.364
0.207,-2.116,-0.314,-250.061,58.899,-169.739
0.370,-2.249,-0.527,-197.510,59.082,-120.728
0.407,-1.977,-0.278,-192.261,26.550,-53.223
0.392,-1.487,0.032,-159.119,5.920,3.906
0.332,-1.034,0.093,-94.360,8.972,37.537
0.306,-0.794,-0.067,-49.561,22.888,38.025
0.328,-0.771,-0.287,-28.137,28.625,18.433
0.312,-0.912,-0.341,-23.560,18.066,-4.822
0.288,-1.139,-0.236,-22.400,0.366,-19.104
0.248,-1.365,-0.114,-18.188,-11.047,-19.165
0.242,-1.449,-0.042,-14.832,-14.404,-3.662
0.280,-1.383,-0.029,-8.057,-12.695,19.653
0.311,-1.196,-0.034,-5.493,-10.986,39.917
0.349,-1.011,-0.034,-9.155,-10.803,49.561
0.379,-0.897,-0.014,-13.672,-12.390,48.462
0.385,-0.833,0.039,-17.639,-14.587,41.443
0.401,-0.792,0.094,-19.836,-15.381,33.203
0.424,-0.763,0.146,-19.531,-13.855,25.146
0.418,-0.753,0.148,-13.306,-10.498,17.517
0.426,-0.788,0.137,-13.794,-5.859,9.216
0.413,-0.821,0.115,-11.414,-2.686,3.357
0.400,-0.836,0.115,-10.132,-1.587,0.977
0.383,-0.848,0.113,-8.179,-0.977,-0.122
0.366,-0.900,0.075,-3.174,0.183,0.061
0.372,-0.981,0.043,-2.319,0.610,1.770
0.386,-0.967,0.088,-0.061,-1.404,8.911
0.370,-0.871,0.159,5.859,-2.319,17.151
0.358,-0.818,0.148,12.146,1.221,19.836
0.377,-0.768,0.083,13.367,5.981,18.860
0.384,-0.705,0.035,10.498,7.141,15.747
0.399,-0.671,0.059,4.150,4.395,8.667
0.400,-0.710,0.091,3.845,1.465,-1.038
0.390,-0.793,0.096,6.775,2.014,-9.949
0.392,-0.867,0.064,5.371,4.089,-15.808
0.397,-0.895,0.048,3.845,4.700,-16.907
0.389,-0.906,0.057,0.671,3.906,-17.029
0.399,-0.909,0.084,-4.150,3.540,-17.761
0.370,-0.975,0.084,-0.488,4.395,-18.005
0.371,-1.021,0.063,4.456,6.592,-15.320
0.371,-0.986,0.050,6.653,7.690,-9.094
0.370,-0.898,0.054,8.667,7.996,-5.249
0.360,-0.826,0.061,8.728,8.484,-6.897
0.360,-0.853,0.046,9.216,9.888,-13.672
0.345,-0.952,0.015,10.010,10.742,-20.264
0.336,-1.028,-0.000,10.681,9.888,-21.301
0.333,-1.048,0.003,10.010,7.996,-16.907
0.338,-1.028,0.010,7.996,6.348,-10.803
0.340,-1.010,0.004,5.554,5.493,-5.981
0.339,-1.011,-0.011,2.808,4.883,-3.845
0.348,-1.028,-0.018,2.930,3.357,-2.686
0.350,-1.031,-0.007,4.456,0.793,-0.305
0.362,-0.998,0.030,2.747,-0.610,3.113
0.363,-0.965,0.041,0.977,-0.061,5.188
0.357,-0.944,0.030,-1.953,1.831,4.517
0.344,-0.953,-0.014,-2.808,3.540,3.296
0.349,-1.016,-0.058,-0.305,3.052,1.770
0.354,-1.013,-0.022,1.038,-0.854,4.211
0.355,-0.941,0.051,2.563,-3.723,8.606
0.357,-0.858,0.085,2.563,-2.319,8.850
0.350,-0.822,0.044,8.423,0.427,5.371
0.353,-0.863,-0.009,12.512,2.014,0.061
0.348,-0.941,-0.013,8.362,0.183,-3.479
0.357,-0.982,0.030,4.761,-2.991,-2.625
0.364,-0.969,0.067,2.197,-3.784,1.343
0.376,-0.922,0.083,1.465,-2.441,5.432
0.367,-0.896,0.060,3.784,-0.549,7.019
0.353,-0.888,0.019,4.944,0.916,6.104
0.343,-0.888,-0.001,2.380,0.427,4.517
0.339,-0.905,0.003,-0.366,-1.282,3.052
0.336,-0.929,0.016,-2.930,-2.686,2.380
0.343,-0.943,0.028,-4.639,-3.723,3.296
0.361,-0.937,0.045,-3.723,-4.028,4.761
0.367,-0.910,0.059,0.244,-3.845,6.775
0.353,-0.937,0.054,3.174,-2.563,6.897
0.361,-0.984,0.037,5.005,-1.648,6.531
0.371,-0.954,0.057,4.211,-1.465,9.277
0.383,-0.892,0.080,2.930,-0.732,11.108
0.384,-0.840,0.067,6.714,1.831,9.216
0.389,-0.822,0.041,7.874,4.578,4.028
