2022-07-31 10:57, b' 23.31' 
2022-07-31 10:59, b' 23.43' 
2022-07-31 10:59, b' 49.24' 
2022-07-31 10:59, b' 23.47' 
2022-07-31 10:59, b' 49.27' 
2022-07-31 10:59, b' 23.43' 
2022-07-31 10:59, b' 49.25' 
2022-07-31 10:59, b' 23.49' 
2022-07-31 10:59, b' 49.26' 
2022-07-31 10:59, b' 23.46' 
2022-07-31 10:59, b' 49.31' 
2022-07-31 10:59, b' 23.43' 
2022-07-31 10:59, b' 23.45' 
2022-07-31 11:00, b' 49.32' 
2022-07-31 11:00, b' 23.42' 
2022-07-31 11:02, b' 23.38' 
2022-07-31 11:02, b' 49.66' 
2022-07-31 11:03, b' 23.37' 
2022-07-31 11:03, b' 49.63' 
2022-07-31 11:04, b' 23.39' 
2022-07-31 11:04, b' 23.38' 
2022-07-31 11:09, b' 49.70' 
2022-07-31 11:14, b' 23.40' 
2022-07-31 11:19, b' 49.72' 
2022-07-31 11:24, b' 23.41' 
2022-07-31 12:03, b' 27.02' 
2022-07-31 12:03, b' 73.04' 
2022-07-31 12:03, b' 27.04' 
2022-07-31 12:03, b' 73.10' 
2022-07-31 12:03, b' 27.02' 
2022-07-31 12:03, b' 73.21' 
2022-07-31 12:03, b' 27.05' 
2022-07-31 12:03, b' 73.37' 
2022-07-31 12:03, b' 27.03' 
2022-07-31 12:03, b' 73.50' 
2022-07-31 12:03, b' 27.04' 
2022-07-31 12:03, b' 73.61' 
2022-07-31 12:03, b' 27.05' 
2022-07-31 12:03, b' 73.74' 
2022-07-31 12:03, b' 27.04' 
2022-07-31 12:03, b' 73.78' 
2022-07-31 12:03, b' 27.05' 
2022-07-31 12:03, b' 73.84' 
2022-07-31 12:03, b' 27.04' 
2022-07-31 12:03, b' 73.90' 
2022-07-31 12:03, b' 27.02' 
2022-07-31 12:03, b' 73.92' 
2022-07-31 12:03, b' 27.03' 
2022-07-31 12:03, b' 73.96' 
2022-07-31 12:05, b' 27.08' 
2022-07-31 12:10, b' 74.33' 
2022-07-31 12:15, b' 27.12' 
2022-07-31 12:20, b' 74.35' 
2022-07-31 12:25, b' 27.12' 
2022-07-31 12:30, b' 74.35' 
2022-07-31 12:35, b' 27.10' 
2022-07-31 12:40, b' 74.36' 
2022-07-31 12:45, b' 27.08' 
2022-07-31 12:50, b' 74.36' 
2022-07-31 12:55, b' 27.10' 
2022-07-31 13:00, b' 74.36' 
2022-07-31 13:05, b' 27.11' 
2022-07-31 13:10, b' 74.34' 
2022-07-31 13:15, b' 27.08' 
2022-07-31 13:20, b' 74.32' 
2022-07-31 13:23, b' 28.19' 
2022-07-31 13:28, b' 72.47' 
2022-07-31 13:33, b' 28.17' 
2022-07-31 13:38, b' 72.54' 
2022-07-31 13:43, b' 28.16' 
2022-07-31 13:48, b' 72.62' 
2022-07-31 13:53, b' 28.15' 
2022-07-31 13:58, b' 72.63' 
2022-07-31 14:03, b' 28.17' 
2022-07-31 14:08, b' 72.66' 
2022-07-31 14:13, b' 28.17' 
2022-07-31 14:18, b' 72.66' 
2022-07-31 14:23, b' 28.15' 
2022-07-31 14:28, b' 72.68' 
2022-07-31 14:33, b' 28.12' 
2022-07-31 14:38, b' 72.68' 
2022-07-31 14:43, b' 28.16' 
2022-07-31 14:48, b' 72.68' 
2022-07-31 14:53, b' 28.13' 
2022-07-31 14:58, b' 72.66' 
2022-07-31 15:03, b' 28.15' 
2022-07-31 15:08, b' 72.69' 
2022-07-31 15:13, b' 28.11' 
2022-07-31 15:18, b' 72.66' 
2022-07-31 15:23, b' 28.15' 
2022-07-31 15:28, b' 72.66' 
2022-07-31 15:33, b' 28.12' 
2022-07-31 15:38, b' 72.67' 
2022-07-31 15:43, b' 28.13' 
2022-07-31 15:48, b' 72.67' 
2022-07-31 15:53, b' 28.14' 
2022-07-31 15:58, b' 72.67' 
2022-07-31 16:03, b' 28.13' 
2022-07-31 16:08, b' 72.67' 
2022-07-31 16:13, b' 28.15' 
2022-07-31 16:18, b' 72.67' 
2022-07-31 16:23, b' 28.09' 
2022-07-31 16:28, b' 72.67' 
